iter	RMSE
0	14.04377906
1	13.20162542
2	12.35931729
3	11.60536599
4	11.02742838
5	10.42131746
6	9.850370085
7	9.373359884
8	8.942896829
9	8.557675883
10	8.221482081
11	7.931077497
12	7.670131484
13	7.453831792
14	7.257539534
15	7.050716094
16	6.898472954
17	6.77769559
18	6.649459768
19	6.536294784
20	6.403680769
21	6.291199805
22	6.198495974
23	6.123030305
24	6.038272401
25	5.983938782
26	5.92216797
27	5.870471958
28	5.809982369
29	5.772613677
30	5.732559575
31	5.707211761
32	5.66957253
33	5.644075465
34	5.614199634
35	5.581864328
36	5.554519404
37	5.53712082
38	5.504065846
39	5.483802892
40	5.474224614
41	5.452178297
42	5.434936686
43	5.422667424
44	5.401263065
45	5.390260407
46	5.370066932
47	5.35710255
48	5.34419951
49	5.335213008
50	5.322893232
51	5.313493755
52	5.304109332
53	5.295445617
54	5.293462648
55	5.284445361
56	5.276301117
57	5.267439855
58	5.257270806
59	5.247514802
60	5.239289967
61	5.231574623
62	5.224131494
63	5.215565628
64	5.21095055
65	5.201757995
66	5.193490977
67	5.188572075
68	5.172378068
69	5.165625768
70	5.155513214
71	5.150533061
72	5.137460011
73	5.129831604
74	5.115305757
75	5.104965297
76	5.098753054
77	5.092884534
78	5.080303388
79	5.075904682
80	5.064958873
81	5.061169921
82	5.051062274
83	5.040997608
84	5.034579336
85	5.030058261
86	5.025205775
87	5.019272904
88	5.014687394
89	5.011598805
90	4.998556078
91	4.995188215
92	4.986487103
93	4.973789547
94	4.968023614
95	4.960899475
96	4.952031621
97	4.944451275
98	4.940091383
99	4.931909541
