iter	Passed	Remaining
0	55	5445
1	55	2706
2	55	1792
3	55	1334
4	55	1060
5	55	876
6	56	745
7	56	647
8	56	571
9	56	509
10	56	460
11	57	418
12	57	382
13	57	352
14	57	326
15	57	303
16	57	283
17	58	264
18	58	248
19	58	233
20	58	220
21	58	208
22	59	197
23	59	187
24	59	178
25	59	169
26	59	161
27	59	154
28	60	147
29	60	140
30	60	134
31	60	128
32	60	123
33	60	118
34	61	113
35	61	109
36	61	104
37	61	100
38	61	96
39	62	93
40	62	89
41	62	86
42	62	82
43	62	79
44	62	76
45	62	73
46	63	71
47	63	68
48	63	66
49	63	63
50	63	61
51	64	59
52	64	56
53	64	54
54	64	52
55	64	50
56	64	48
57	64	47
58	65	45
59	65	43
60	65	41
61	65	40
62	65	38
63	65	37
64	65	35
65	66	34
66	66	32
67	66	31
68	66	29
69	66	28
70	66	27
71	67	26
72	67	24
73	67	23
74	67	22
75	67	21
76	67	20
77	68	19
78	68	18
79	68	17
80	68	16
81	68	15
82	68	14
83	69	13
84	69	12
85	69	11
86	69	10
87	69	9
88	69	8
89	69	7
90	70	6
91	70	6
92	70	5
93	70	4
94	70	3
95	70	2
96	70	2
97	71	1
98	71	0
99	71	0
